name,iso_country,iso_region,continent,municipality,iata_code,icao_code,latitude_deg,longitude_deg,elevation_ft,scheduled_service,type,is_international,wikipedia_link
Tupelo Regional Airport,US,US-MS,NA,Tupelo,TUP,KTUP,34.26810073852539,-88.7698974609375,346.0,yes,medium_airport,no,https://en.wikipedia.org/wiki/Tupelo_Regional_Airport
Turaif Domestic Airport,SA,SA-08,AS,Turaif,TUI,OETR,31.692188,38.731544,2803.0,yes,medium_airport,no,https://en.wikipedia.org/wiki/Turaif_Domestic_Airport
Turbat International Airport,PK,PK-BA,AS,Turbat,TUK,OPTU,25.984767,63.028856,498.0,yes,large_airport,yes,https://en.wikipedia.org/wiki/Turbat_Internatioal_Airport
Turin Airport,IT,IT-21,EU,Caselle Torinese (TO),TRN,LIMF,45.200802,7.64963,989.0,yes,large_airport,yes,https://en.wikipedia.org/wiki/Turin_International_Airport
Turku Airport,FI,FI-19,EU,Turku,TKU,EFTU,60.514099,22.2628,161.0,yes,large_airport,yes,https://en.wikipedia.org/wiki/Turku_Airport
Turukhansk Airport,RU,RU-KYA,AS,Turukhansk,THX,UOTT,65.797203,87.935303,128.0,yes,small_airport,no,https://en.wikipedia.org/wiki/Turukhansk_Airport
Tuticorin Airport,IN,IN-TN,AS,Vagaikulam,TCR,VOTK,8.724241,78.025803,129.0,yes,small_airport,no,https://en.wikipedia.org/wiki/Tuticorin_Airport
Tuzla International Airport,BA,BA-BIH,EU,Dubrave Gornje,TZL,LQTZ,44.459858,18.723627,784.0,yes,large_airport,yes,https://en.wikipedia.org/wiki/Tuzla_International_Airport
Tweed New Haven Airport,US,US-CT,NA,New Haven,HVN,KHVN,41.262869,-72.887694,12.0,yes,medium_airport,no,https://en.wikipedia.org/wiki/Tweed_New_Haven_Regional_Airport
Tyler Pounds Regional Airport,US,US-TX,NA,Tyler,TYR,KTYR,32.35409927368164,-95.40239715576172,544.0,yes,medium_airport,no,https://en.wikipedia.org/wiki/Tyler_Pounds_Regional_Airport
Târgu Mureş Transilvania International Airport,RO,RO-MS,EU,Recea,TGM,LRTM,46.467701,24.4125,963.0,yes,medium_airport,yes,https://en.wikipedia.org/wiki/T%C3%A2rgu_Mure%C5%9F_International_Airport
Tête-à-la-Baleine Airport,CA,CA-QC,NA,Tête-à-la-Baleine,ZTB,,50.67440032958984,-59.38359832763672,107.0,yes,small_airport,no,https://en.wikipedia.org/wiki/T%C3%AAte-%C3%A0-La-Baleine_Airport
Tôlanaro Airport,MG,MG-U,AF,Tôlanaro,FTU,FMSD,-25.038099,46.9561,29.0,yes,medium_airport,yes,https://en.wikipedia.org/wiki/T%C3%B4lanaro_Airport
U-Tapao–Rayong–Pattaya International Airport,TH,TH-21,AS,Rayong,UTP,VTBU,12.6799,101.004997,42.0,yes,large_airport,yes,https://en.wikipedia.org/wiki/U-Tapao_International_Airport
Ua Huka Airport,PF,PF-U-A,OC,Ua Huka,UAH,NTMU,-8.936228,-139.554062,160.0,yes,small_airport,no,https://en.wikipedia.org/wiki/Ua_Huka_Airport
Ua Pou Airport,PF,PF-U-A,OC,Ua Pou,UAP,NTMP,-9.35167,-140.078003,16.0,yes,small_airport,no,https://en.wikipedia.org/wiki/Ua_Pou_Airport
Ubon Ratchathani Airport,TH,TH-34,AS,Ubon Ratchathani,UBP,VTUU,15.2512998581,104.870002747,406.0,yes,medium_airport,no,https://en.wikipedia.org/wiki/Ubon_Ratchathani_Airport
Udon Thani International Airport,TH,TH-41,AS,Udon Thani,UTH,VTUD,17.386186,102.788577,579.0,yes,large_airport,yes,https://en.wikipedia.org/wiki/Udon_Thani_International_Airport
Ufa International Airport,RU,RU-BA,EU,Ufa,UFA,UWUU,54.557499,55.874401,449.0,yes,large_airport,yes,https://en.wikipedia.org/wiki/Ufa_International_Airport
Ugashik Bay Airport,US,US-AK,NA,Pilot Point,UGB,,57.424052,-157.74479,132.0,no,small_airport,no,https://en.wikipedia.org/wiki/Ugashik_Bay_Airport
Ugolny Yuri Ryktheu Airport,RU,RU-CHU,AS,Anadyr,DYR,UHMA,64.734902,177.740997,194.0,yes,medium_airport,yes,https://en.wikipedia.org/wiki/Ugolny_Airport
Ukhta Airport,RU,RU-KO,AS,Ukhta,UCT,UUYH,63.566898,53.804699,482.0,yes,medium_airport,no,https://en.wikipedia.org/wiki/Ukhta_Airport
Ukkusissat Heliport,GL,GL-AV,NA,Ukkusissat,JUK,BGUT,71.049438,-51.890016,223.0,yes,heliport,no,https://en.wikipedia.org/wiki/Ukkusissat_Heliport
Ukunda Airstrip,KE,KE-02,AF,Ukunda,UKA,HKUK,-4.29333,39.571098,98.0,no,small_airport,no,https://en.wikipedia.org/wiki/Ukunda_Airport
Ulaangom Airport,MN,MN-046,AS,Ulaangom,ULO,ZMUG,50.066588,91.938273,5676.0,yes,medium_airport,no,https://en.wikipedia.org/wiki/Ulaangom_Airport
Ulanhot Yilelite Airport,CN,CN-15,AS,Ulanhot,HLH,ZBUL,46.195333,122.008333,,yes,small_airport,no,https://en.wikipedia.org/wiki/Ulanhot_Yilelite_Airport
Ulawa Airport,SB,SB-MK,OC,Arona,RNA,AGAR,-9.86054358262,161.979546547,40.0,no,small_airport,no,https://en.wikipedia.org/wiki/Ulawa_Airport
Ulsan Airport,KR,KR-31,AS,Ulsan,USN,RKPU,35.59349823,129.352005005,45.0,yes,medium_airport,no,https://en.wikipedia.org/wiki/Ulsan_Airport
Ulukhaktok Holman Airport,CA,CA-NT,NA,Ulukhaktok,YHI,CYHI,70.762802,-117.806,117.0,yes,small_airport,no,https://en.wikipedia.org/wiki/Ulukhaktok/Holman_Airport
Ulyanovsk Baratayevka Airport,RU,RU-ULY,EU,Ulyanovsk,ULV,UWLL,54.27016,48.225569,449.0,yes,medium_airport,yes,https://en.wikipedia.org/wiki/Ulyanovsk_Baratayevka_Airport
Uléi Airport,VU,VU-MAP,OC,Ambrym Island,ULB,NVSU,-16.3297,168.3011,170.0,no,small_airport,no,https://en.wikipedia.org/wiki/Ulei_Airport
Umbu Mehang Kunda Airport,ID,ID-NT,AS,Waingapu-Sumba Island,WGP,WATU,-9.66922,120.302002,33.0,yes,small_airport,no,https://en.wikipedia.org/wiki/Mau_Hau_Airport
Umeå Airport,SE,SE-AC,EU,Umeå,UME,ESNU,63.791801,20.282801,24.0,yes,large_airport,yes,https://en.wikipedia.org/wiki/Ume%C3%A5_Airport
Umiujaq Airport,CA,CA-QC,NA,Umiujaq,YUD,CYMU,56.536098,-76.518303,250.0,yes,small_airport,no,https://en.wikipedia.org/wiki/Umiujaq_Airport
Unalakleet Airport,US,US-AK,NA,Unalakleet,UNK,PAUN,63.888401,-160.798996,27.0,yes,medium_airport,no,https://en.wikipedia.org/wiki/Unalakleet_Airport
University of Illinois Willard Airport,US,US-IL,NA,Savoy,CMI,KCMI,40.039819,-88.276249,755.0,yes,medium_airport,no,https://en.wikipedia.org/wiki/University_of_Illinois_Willard_Airport
