location,airport,iata,latitude,longitude,region
San Felipe de Puerto Plata,Gregorio Luperón International Airport,POP,19.7579,-70.57,Americas
Santiago de los Caballeros,Cibao International Airport,STI,19.40406,-70.604431,Americas
Santo Domingo,Las Américas International Airport,SDQ,18.42970085144,-69.668899536133,Americas
St George's,Maurice Bishop International Airport,GND,12.003996,-61.785302,Americas
Pointe-à-Pitre,Pointe-à-Pitre International Airport,PTP,16.265443,-61.532754,Americas
Cap-Haïtien,Cap-Haïtien International Airport,CAP,19.725547,-72.20071,Americas
Port-au-Prince,Toussaint Louverture International Airport,PAP,18.580023,-72.292596,Americas
Kingston,Norman Manley International Airport,KIN,17.935699462890625,-76.7874984741211,Americas
Montego Bay,Sangster International Airport,MBJ,18.50342,-77.91323,Americas
Fort-de-France,Martinique Aimé Césaire International Airport,FDF,14.591,-61.003201,Americas
Brades,John A. Osborne Airport,MNI,16.791835,-62.193204,Americas
Aguadilla,Rafael Hernández International Airport,BQN,18.4949,-67.129402,Americas
Ponce,Mercedita International Airport,PSE,18.008301,-66.563004,Americas
San Juan,Fernando Luis Ribas Dominicci Airport,SIG,18.45680046081543,-66.09809875488281,Americas
Saint Jean,Gustaf III Airport,SBH,17.904398,-62.843333,Americas
Basseterre,Robert L. Bradshaw International Airport,SKB,17.310845,-62.719117,Americas
Vieux Fort Quarter,Hewanorra International Airport,UVF,13.7332,-60.952599,Americas
Kingstown,Argyle International Airport,SVD,13.159725,-61.148801,Americas
Canouan,Canouan Airport,CIW,12.699,-61.3424,Americas
Philipsburg,Princess Juliana International Airport,SXM,18.041,-63.108898,Americas
Port of Spain,Piarco International Airport,POS,10.59535,-61.337568,Americas
Tobago,A.N.R. Robinson International Airport,TAB,11.149571,-60.831298,Americas
Blue Hills,Providenciales Airport,PLS,21.773697,-72.268321,Americas
Charlotte Amalie,Cyril E. King Airport,STT,18.337091,-64.977251,Americas
Christiansted,Henry E. Rohlsen Airport,STX,17.701413,-64.802608,Americas
Belize City,Philip S. W. Goldson International Airport,BZE,17.539951,-88.303556,Americas
Liberia,Daniel Oduber Quirós International Airport,LIR,10.5933,-85.544403,Americas
San José,Juan Santamaría International Airport,SJO,9.99386,-84.208801,Americas
San Salvador,El Salvador International Airport,SAL,13.44447,-89.055784,Americas
Flores,Mundo Maya International Airport,FRS,16.913707,-89.866143,Americas
Guatemala City,La Aurora International Airport,GUA,14.582896,-90.527515,Americas
La Ceiba,Golosón International Airport,LCE,15.7425,-86.852997,Americas
Roatán,Juan Manuel Gálvez International Airport,RTB,16.316799,-86.523003,Americas
San Pedro Sula,Ramón Villeda Morales International Airport,SAP,15.4526,-87.923599,Americas
Tegucigalpa,Toncontín International Airport,TGU,14.0609,-87.217201,Americas
Comayagua,Comayagua International Airport,XPL,14.3824,-87.621201,Americas
Managua,Augusto C. Sandino International Airport,MGA,12.1415,-86.168198,Americas
Bluefields,Bluefields Airport,BEF,11.991,-83.774101,Americas
Corn Island,Corn Island Airport,RNI,12.174785,-83.059445,Americas
Bocas del Toro,"Bocas del Toro ""Isla Colón"" International Airport",BOC,9.34085,-82.250801,Americas
"David, Chiriquí",Enrique Malek International Airport,DAV,8.388983,-82.436425,Americas
Panama City,"Albrook ""Marcos A. Gelabert"" International Airport",PAC,8.97334,-79.555603,Americas
Rio Hato,Scarlett Martínez International Airport,RIH,8.375880241394,-80.127899169922,Americas
Hamilton,L.F. Wade International Airport,BDA,32.363802,-64.67824,Americas
Abbotsford,Abbotsford International Airport,YXX,49.025299,-122.361,Americas
Barrie (Oro-Medonte),Lake Simcoe Regional Airport,YLK,44.485056,-79.554663,Americas
Calgary,Calgary International Airport,YYC,51.118822,-114.009933,Americas
Charlottetown,Charlottetown Airport,YYG,46.288911,-63.125174,Americas
Deer Lake,Deer Lake Regional Airport,YDA,64.04309844970703,-139.1280059814453,Americas
Edmonton,Edmonton International Airport,YEG,53.3097,-113.580002,Americas
Fredericton,Fredericton International Airport,YFC,45.868697,-66.529891,Americas
Gander,Gander International Airport,YQX,48.936258,-54.567719,Americas
Halifax (Goffs),Halifax Stanfield International Airport,YHZ,44.8807983398,-63.5085983276,Americas
Hamilton,John C. Munro Hamilton International Airport,YHM,43.17348,-79.931185,Americas
Kamloops,Kamloops Airport,YKA,50.703038,-120.448641,Americas
Kelowna,Kelowna International Airport,YLW,49.9561,-119.377998,Americas
Kingston,Kingston Norman Rogers Airport,YGK,44.2253,-76.596901,Americas
Kitchener,Region of Waterloo International Airport,YKF,43.4608,-80.378601,Americas
London,London International Airport,YXU,43.032845,-81.149003,Americas
Moncton (Dieppe),Greater Moncton Roméo LeBlanc International Airport,YQM,46.113189,-64.67719,Americas
Montréal (Dorval),Montréal–Trudeau International Airport,YUL,45.467837,-73.742294,Americas
Ottawa,Ottawa Macdonald–Cartier International Airport,YOW,45.322498,-75.669197,Americas
Québec City,Québec City Jean Lesage International Airport,YQB,46.7911,-71.393303,Americas
Regina,Regina International Airport,YQR,50.431938,-104.660906,Americas
Saint John,Saint John Airport,YSJ,45.31610107421875,-65.89029693603516,Americas
