name,iso_country,iso_region,continent,municipality,iata_code,icao_code,latitude_deg,longitude_deg,elevation_ft,scheduled_service,type,is_international,wikipedia_link
Jack Mc Namara Field Airport,US,US-CA,NA,Crescent City,CEC,KCEC,41.778929,-124.236403,61.0,yes,medium_airport,no,https://en.wikipedia.org/wiki/Del_Norte_County_Airport
Jackson Hole Airport,US,US-WY,NA,Jackson,JAC,KJAC,43.6073,-110.737999,6451.0,yes,medium_airport,no,https://en.wikipedia.org/wiki/Jackson_Hole_Airport
Jackson-Medgar Wiley Evers International Airport,US,US-MS,NA,Jackson,JAN,KJAN,32.311199,-90.075897,346.0,yes,medium_airport,yes,https://en.wikipedia.org/wiki/Jackson-Evers_International_Airport
Jacksonville International Airport,US,US-FL,NA,Jacksonville,JAX,KJAX,30.492469,-81.687813,30.0,yes,large_airport,yes,https://en.wikipedia.org/wiki/Jacksonville_International_Airport
James M. Cox Dayton International Airport,US,US-OH,NA,Dayton,DAY,KDAY,39.902401,-84.219398,1009.0,yes,medium_airport,yes,https://en.wikipedia.org/wiki/Dayton_International_Airport
John F. Kennedy International Airport,US,US-NY,NA,New York,JFK,KJFK,40.639447,-73.779317,13.0,yes,large_airport,yes,https://en.wikipedia.org/wiki/John_F._Kennedy_International_Airport
John Glenn Columbus International Airport,US,US-OH,NA,Columbus,CMH,KCMH,39.998001,-82.891899,815.0,yes,large_airport,yes,https://en.wikipedia.org/wiki/John_Glenn_Columbus_International_Airport
John Murtha Johnstown Cambria County Airport,US,US-PA,NA,Johnstown,JST,KJST,40.31610107421875,-78.83390045166016,2284.0,yes,medium_airport,no,https://en.wikipedia.org/wiki/Johnstown-Cambria_County_Airport
John Wayne Orange County International Airport,US,US-CA,NA,Santa Ana,SNA,KSNA,33.675063,-117.869281,56.0,yes,large_airport,yes,https://en.wikipedia.org/wiki/John_Wayne_Airport
Jonesboro Municipal Airport,US,US-AR,NA,Jonesboro,JBR,KJBR,35.83169937133789,-90.64640045166016,262.0,yes,medium_airport,no,https://en.wikipedia.org/wiki/Jonesboro_Municipal_Airport
Joplin Regional Airport,US,US-MO,NA,Joplin,JLN,KJLN,37.151798,-94.498299,981.0,yes,medium_airport,no,https://en.wikipedia.org/wiki/Joplin_Regional_Airport
Joslin Field Magic Valley Regional Airport,US,US-ID,NA,Twin Falls,TWF,KTWF,42.4818,-114.487999,4154.0,yes,medium_airport,no,https://en.wikipedia.org/wiki/Magic_Valley_Regional_Airport
Juneau International Airport,US,US-AK,NA,Juneau,JNU,PAJN,58.354935,-134.574416,21.0,yes,medium_airport,yes,https://en.wikipedia.org/wiki/Juneau_International_Airport
Kahului International Airport,US,US-HI,OC,Kahului,OGG,PHOG,20.896263,-156.431837,54.0,yes,large_airport,no,https://en.wikipedia.org/wiki/Kahului_Airport
Kalamazoo/Battle Creek International Airport,US,US-MI,NA,Kalamazoo,AZO,KAZO,42.232105,-85.549637,874.0,yes,medium_airport,no,https://en.wikipedia.org/wiki/Kalamazoo-Battle_Creek_International_Airport
Kansas City International Airport,US,US-MO,NA,Kansas City,MCI,KMCI,39.301699,-94.713893,1026.0,yes,large_airport,yes,https://en.wikipedia.org/wiki/Kansas_City_International_Airport
Kapalua Airport,US,US-HI,OC,Lahaina,JHM,PHJH,20.9629,-156.673004,256.0,yes,medium_airport,no,https://en.wikipedia.org/wiki/Kapalua_Airport
Kearney Regional Airport,US,US-NE,NA,Kearney,EAR,KEAR,40.727001,-99.006798,2131.0,yes,medium_airport,no,https://en.wikipedia.org/wiki/Kearney_Municipal_Airport
Kenai Municipal Airport,US,US-AK,NA,Kenai,ENA,PAEN,60.570946,-151.245174,99.0,yes,medium_airport,no,https://en.wikipedia.org/wiki/Kenai_Municipal_Airport
Ketchikan International Airport,US,US-AK,NA,Ketchikan,KTN,PAKT,55.35559845,-131.7140045,89.0,yes,medium_airport,yes,https://en.wikipedia.org/wiki/Ketchikan_International_Airport
Key Field / Meridian Regional Airport,US,US-MS,NA,Meridian,MEI,KMEI,32.3326,-88.7519,297.0,yes,medium_airport,no,https://en.wikipedia.org/wiki/Meridian_Regional_Airport
Key West International Airport,US,US-FL,NA,Key West,EYW,KEYW,24.556119,-81.759579,3.0,yes,medium_airport,yes,https://en.wikipedia.org/wiki/Key_West_International_Airport
Killeen Regional Airport / Robert Gray Army Airfield,US,US-TX,NA,Fort Cavazos,GRK,KGRK,31.0672,-97.828903,1015.0,yes,medium_airport,no,https://en.wikipedia.org/wiki/Killeen_Regional_Airport
King County International Airport - Boeing Field,US,US-WA,NA,Seattle,BFI,KBFI,47.527042,-122.29995,21.0,yes,medium_airport,no,https://en.wikipedia.org/wiki/Boeing_Field
King Salmon Airport,US,US-AK,NA,King Salmon,AKN,PAKN,58.677845,-156.651965,73.0,yes,medium_airport,no,https://en.wikipedia.org/wiki/King_Salmon_Airport
Kingman Airport,US,US-AZ,NA,Kingman,IGM,KIGM,35.259499,-113.938004,3449.0,no,medium_airport,no,https://en.wikipedia.org/wiki/Kingman_Airport_(Arizona)
Kirksville Regional Airport,US,US-MO,NA,Kirksville,IRK,KIRK,40.09349822998047,-92.5448989868164,966.0,yes,medium_airport,no,https://en.wikipedia.org/wiki/Kirksville_Regional_Airport
Klawock Airport,US,US-AK,NA,Klawock,KLW,PAKW,55.579201,-133.076004,80.0,yes,medium_airport,no,https://en.wikipedia.org/wiki/Klawock_Airport
Knox County Regional Airport,US,US-ME,NA,Rockland,RKD,KRKD,44.060101,-69.099197,56.0,yes,medium_airport,no,https://en.wikipedia.org/wiki/Knox_County_Regional_Airport
Kodiak Airport,US,US-AK,NA,Kodiak,ADQ,PADQ,57.75,-152.4940033,78.0,yes,medium_airport,no,https://en.wikipedia.org/wiki/Kodiak_Airport
L M Clayton Airport,US,US-MT,NA,Wolf Point,OLF,KOLF,48.094501,-105.574997,1986.0,yes,medium_airport,no,https://en.wikipedia.org/wiki/L._M._Clayton_Airport
La Crosse Regional Airport,US,US-WI,NA,La Crosse,LSE,KLSE,43.879002,-91.256699,655.0,yes,medium_airport,no,https://en.wikipedia.org/wiki/La_Crosse_Municipal_Airport
LaGuardia Airport,US,US-NY,NA,New York,LGA,KLGA,40.777199,-73.872597,21.0,yes,large_airport,no,https://en.wikipedia.org/wiki/LaGuardia_Airport
Lafayette Regional Airport,US,US-LA,NA,Lafayette,LFT,KLFT,30.205299,-91.987602,42.0,yes,medium_airport,no,https://en.wikipedia.org/wiki/Lafayette_Regional_Airport
Lake Charles Regional Airport,US,US-LA,NA,Lake Charles,LCH,KLCH,30.126100540161133,-93.22329711914062,15.0,yes,medium_airport,no,https://en.wikipedia.org/wiki/Lake_Charles_Regional_Airport
Lanai Airport,US,US-HI,OC,Lanai City,LNY,PHNY,20.785675,-156.951324,1308.0,yes,medium_airport,no,https://en.wikipedia.org/wiki/Lanai_Airport
Lancaster Airport,US,US-PA,NA,Lancaster,LNS,KLNS,40.121700286865234,-76.29609680175781,403.0,yes,medium_airport,no,https://en.wikipedia.org/wiki/Lancaster_Airport_(Pennsylvania)
