State,City,FAA,IATA,ICAO,Airport,Role,Enplanements
MICHIGAN,Kalamazoo,AZO,AZO,KAZO,Kalamazoo/Battle Creek International Airport,P-N,"92,510"
MICHIGAN,Lansing,LAN,LAN,KLAN,Capital Region International Airport (was Lansing Capital City),P-N,"123,608"
MICHIGAN,Marquette,SAW,MQT,KSAW,Marquette Sawyer Regional Airport,P-N,"44,574"
MICHIGAN,Muskegon,MKG,MKG,KMKG,Muskegon County Airport,P-N,"2,729"
MICHIGAN,Pellston,PLN,PLN,KPLN,Pellston Regional/Emmet County Airport,P-N,"31,060"
MICHIGAN,Saginaw,MBS,MBS,KMBS,MBS International Airport,P-N,"110,822"
MICHIGAN,Sault Ste. Marie,CIU,CIU,KCIU,Chippewa County International Airport,P-N,"26,482"
MICHIGAN,Traverse City,TVC,TVC,KTVC,Cherry Capital Airport (was Cherry County Airpark),P-N,"393,108"
MINNESOTA,Bemidji,BJI,BJI,KBJI,Bemidji Regional Airport,P-N,"28,536"
MINNESOTA,Brainerd,BRD,BRD,KBRD,Brainerd Lakes Regional Airport,P-N,"16,255"
MINNESOTA,Duluth,DLH,DLH,KDLH,Duluth International Airport,P-N,"135,966"
MINNESOTA,Hibbing,HIB,HIB,KHIB,Range Regional Airport (formerly Chisholm–Hibbing Municipal Airport),P-N,"11,294"
MINNESOTA,Minneapolis–Saint Paul,MSP,MSP,KMSP,Minneapolis–Saint Paul International Airport (Wold-Chamberlain Field),P-L,"18,054,481"
MINNESOTA,Rochester,RST,RST,KRST,Rochester International Airport,P-N,"98,537"
MINNESOTA,St. Cloud,STC,STC,KSTC,St. Cloud Regional Airport,P-N,"23,885"
MISSISSIPPI,Columbus,GTR,GTR,KGTR,Golden Triangle Regional Airport,P-N,"47,323"
MISSISSIPPI,Gulfport / Biloxi,GPT,GPT,KGPT,Gulfport–Biloxi International Airport,P-N,"424,624"
MISSISSIPPI,Hattiesburg / Laurel,PIB,PIB,KPIB,Hattiesburg–Laurel Regional Airport,P-N,"15,575"
MISSISSIPPI,Jackson,JAN,JAN,KJAN,Jackson–Medgar Wiley Evers International Airport,P-S,"616,695"
MISSISSIPPI,Meridian,MEI,MEI,KMEI,Key Field,P-N,"17,003"
MISSISSIPPI,Tupelo,TUP,TUP,KTUP,Tupelo Regional Airport (C.D. Lemons Field),P-N,"16,194"
MISSOURI,Branson,BBG,BKG,KBBG,Branson Airport,P-N,"2,856"
MISSOURI,Columbia,COU,COU,KCOU,Columbia Regional Airport,P-N,"103,081"
MISSOURI,Fort Leonard Wood / Waynesville,TBN,TBN,KTBN,Waynesville–St. Robert Regional Airport (Forney Field),P-N,"11,276"
